ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
(1)800아연피스75,6 x 75 (300pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
(1)800아연피스90,6 x 90 (200pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
,18T x 910 x 2400,,,,,,실패,
,18T x 910 x 2440,,,,,,실패,
,24T x 910 x 2440,,,,,,실패,
,30T x 915 x 2300,,,,,,실패,
,15 x 90 x 1820 (오리지널),,,,,,실패,
,15 x 150 x 1820 (단판),,,,,,실패,
,15 x 150 x 1820 (오리지널),,,,,,실패,
,30T x 300 x 3600 코팅,,,,,,실패,
,30T x 300 x 3600 무코팅,,,,,,실패,
,18T x 910 x 2440,,,,,,실패,
,24T x 910 x 2440,,,,,,실패,
,30T x 910 x 2440,,,,,,실패,
,30T x 300 x 3600,,,,,,실패,
(1)800스텐피스25,스텐 접시 양날피스 8 x 25,,,P0000BJE,스텐 접시 양날피스,,성공,
(1)800스텐피스32,스텐 접시 양날피스 8 x 32,,,P0000BJE,스텐 접시 양날피스,,성공,
(1)800스텐피스38,스텐 접시 양날피스 8 x 38,,,P0000BJE,스텐 접시 양날피스,,성공,
(1)800스텐피스50,스텐 접시 양날피스 8 x 50,,,P0000BJE,스텐 접시 양날피스,,성공,
(1)800실타615,실타카핀615,,,P0000BJD,"6단위실타카핀(615,618,625,630)",,성공,
(1)800실타618,실타카핀618,,,P0000BJD,"6단위실타카핀(615,618,625,630)",,성공,
(1)800실타625,실타카핀625,,,P0000BJD,"6단위실타카핀(615,618,625,630)",,성공,
(1)800실타630,실타카핀630,,,P0000BJD,"6단위실타카핀(615,618,625,630)",,성공,
(1)80011이지경실,이지경첩 - 실버,,,P0000BJC,"AFH-4350 이지경첩실버,골드,화이트,블랙",,성공,
(1)80012이지경골,이지경첩 - 골드,,,P0000BJC,"AFH-4350 이지경첩실버,골드,화이트,블랙",,성공,
(1)80014이지경백,이지경첩 - 백색,,,P0000BJC,"AFH-4350 이지경첩실버,골드,화이트,블랙",,성공,
(1)80013이지경블,이지경첩 - 블랙,,,P0000BJC,"AFH-4350 이지경첩실버,골드,화이트,블랙",,성공,
